task_idx,text,stratum,category,description,daniil_n_spans,daniil_spans,daniil_type,shirin_n_spans,shirin_spans,shirin_type,igor_n_spans,igor_spans,igor_type
151,"Я полностью восстановился от своей травмы и буду бороться за то , чтобы стать первым в истории спортсменом , пробежавшим марафон быстрее 2 : 03 . """,solyanka_lj_long,adverbial_participle,Деепричастный/причастный оборот — один аннотатор ошибочно выделил его как самостоятельную клаузу.,2,"[0,63]Я полностью восстановился от своей травмы и буду бороться за то; [66,143]чтобы стать первым в истории спортсменом , пробежавшим марафон быстрее 2 : 03",СПП,3,"[0,41]Я полностью восстановился от своей травмы; [42,63]и буду бороться за то; [66,143]чтобы стать первым в истории спортсменом , пробежавшим марафон быстрее 2 : 03",Смешанного типа,2,"[0,63]Я полностью восстановился от своей травмы и буду бороться за то; [66,143]чтобы стать первым в истории спортсменом , пробежавшим марафон быстрее 2 : 03",СПП
152,"Я потерял интерес к жизни, хочется просто сдохнуть.",presuicidal_multilabel_bsp,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",2,"[0,25]Я потерял интерес к жизни; [27,50]хочется просто сдохнуть",БСП,2,"[0,25]Я потерял интерес к жизни; [27,50]хочется просто сдохнуть",БСП,2,"[0,25]Я потерял интерес к жизни; [27,50]хочется просто сдохнуть",БСП
153,"Я почти ничего не ем, живу последние дни в предчувствии страшной смерти от удушья :.",presuicidal_multilabel_conj,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",2,"[0,20]Я почти ничего не ем; [22,81]живу последние дни в предчувствии страшной смерти от удушья",БСП,2,"[0,20]Я почти ничего не ем; [22,81]живу последние дни в предчувствии страшной смерти от удушья",БСП,2,"[0,20]Я почти ничего не ем; [22,81]живу последние дни в предчувствии страшной смерти от удушья",БСП
154,"Я сказала я богом клянусь я тебя люблю прости, а он сказал пошла ты.",presuicidal_multilabel_conj,other,"Разное число клауз ({'daniil': 4, 'shirin': 2, 'igor': 5}) без явного типового паттерна.",4,"[0,9]Я сказала; [10,25]я богом клянусь; [26,45]я тебя люблю прости; [47,67]а он сказал пошла ты",MISSING,2,"[0,45]Я сказала я богом клянусь я тебя люблю прости; [47,67]а он сказал пошла ты",ССП,5,"[0,9]Я сказала; [10,25]я богом клянусь; [26,45]я тебя люблю прости; [47,58]а он сказал; [59,67]пошла ты",Смешанного типа
155,"Я слезно извинялась и просила прощения что не смогла оправдать его стандартов, за грубость из-за усталости на работе, что я не стараюсь достаточно сильно для общего блага я умоляла на его простить меня, на что он выразился четко - ""меня всё достало, я теперь для себя поживу"" претензии были по поводу того, что я недостаточно умная, что он во всем себе отказывает, а я ною по поводу тяжёлой работы и это непозволительно с моей стороны, так как он старается больше, чем я. Теперь не вижу жизни, я никому не нужна, ни себе ни другим, я мечтаю <способ суицида - ред. мод.",presuicidal_multilabel_conj,direct_speech,"Внутри прямой речи / реплики один аннотатор выделил клаузы, другой оставил реплику целиком.",14,"[0,38]Я слезно извинялась и просила прощения; [39,116]что не смогла оправдать его стандартов, за грубость из-за усталости на работе; [118,170]что я не стараюсь достаточно сильно для общего блага; [171,201]я умоляла на его простить меня; [203,274]на что он выразился четко - ""меня всё достало, я теперь для себя поживу; [276,305]претензии были по поводу того; [307,331]что я недостаточно умная; [333,363]что он во всем себе отказывает; [365,397]а я ною по поводу тяжёлой работы; [398,434]и это непозволительно с моей стороны; [436,470]так как он старается больше, чем я; [472,492]Теперь не вижу жизни; [494,530]я никому не нужна, ни себе ни другим; [532,567]я мечтаю <способ суицида - ред. мод",Смешанного типа,15,"[0,38]Я слезно извинялась и просила прощения; [39,77]что не смогла оправдать его стандартов; [79,116]за грубость из-за усталости на работе; [118,170]что я не стараюсь достаточно сильно для общего блага; [171,201]я умоляла на его простить меня; [203,274]на что он выразился четко - ""меня всё достало, я теперь для себя поживу; [276,305]претензии были по поводу того; [307,331]что я недостаточно умная; [333,363]что он во всем себе отказывает; [365,397]а я ною по поводу тяжёлой работы; [398,434]и это непозволительно с моей стороны; [436,470]так как он старается больше, чем я; [472,492]Теперь не вижу жизни; [494,530]я никому не нужна, ни себе ни другим; [532,567]я мечтаю <способ суицида - ред. мод",Смешанного типа,14,"[0,38]Я слезно извинялась и просила прощения; [39,116]что не смогла оправдать его стандартов, за грубость из-за усталости на работе; [118,170]что я не стараюсь достаточно сильно для общего блага; [171,201]я умоляла на его простить меня; [203,228]на что он выразился четко; [232,248]меня всё достало; [250,274]я теперь для себя поживу; [276,305]претензии были по поводу того; [307,331]что я недостаточно умная; [333,363]что он во всем себе отказывает; [365,434]а я ною по поводу тяжёлой работы и это непозволительно с моей стороны; [436,470]так как он старается больше, чем я; [472,530]Теперь не вижу жизни, я никому не нужна, ни себе ни другим; [532,567]я мечтаю <способ суицида - ред. мод",Смешанного типа
157,Я схожу с ума и это тоже заставляет меня сильно грустить,presuicidal_multilabel_conj,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",2,"[0,13]Я схожу с ума; [14,56]и это тоже заставляет меня сильно грустить",ССП,2,"[0,13]Я схожу с ума; [14,56]и это тоже заставляет меня сильно грустить",ССП,2,"[0,13]Я схожу с ума; [14,56]и это тоже заставляет меня сильно грустить",ССП
158,"Я уже так устала от этой борьбы, борьбы с родителями, борьбы с парнем, борьбы с собой.",presuicidal_multilabel_bsp,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",1,"[0,85]Я уже так устала от этой борьбы, борьбы с родителями, борьбы с парнем, борьбы с собой",Не сложное,1,"[0,85]Я уже так устала от этой борьбы, борьбы с родителями, борьбы с парнем, борьбы с собой",Не сложное,1,"[0,85]Я уже так устала от этой борьбы, борьбы с родителями, борьбы с парнем, борьбы с собой",Не сложное
159,"Я умерла 4 года назад, осталась оболочка.",presuicidal_multilabel_bsp,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",2,"[0,21]Я умерла 4 года назад; [23,40]осталась оболочка",БСП,2,"[0,21]Я умерла 4 года назад; [23,40]осталась оболочка",БСП,2,"[0,21]Я умерла 4 года назад; [23,40]осталась оболочка",БСП
160,"Я устал видеть, слышать, чувствовать, думать, в самом буквальном значении этих слов.",presuicidal_multilabel_bsp,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",1,"[0,83]Я устал видеть, слышать, чувствовать, думать, в самом буквальном значении этих слов",Не сложное,1,"[0,83]Я устал видеть, слышать, чувствовать, думать, в самом буквальном значении этих слов",Не сложное,1,"[0,83]Я устал видеть, слышать, чувствовать, думать, в самом буквальном значении этих слов",Не сложное
161,"Я устал так жыть, у меня пропала желания штото делать, родители выгнали из дому, уже как год они меня не кормят, а все потому што я учится не хотел, у меня все што осталась ето друзья, спасибо хоть им што они меня не предали, ета так больно когда родные от тебя отварачиваются.",presuicidal_multilabel_conj,adverbial_participle,Деепричастный/причастный оборот — один аннотатор ошибочно выделил его как самостоятельную клаузу.,10,"[0,16]Я устал так жыть; [18,53]у меня пропала желания штото делать; [55,79]родители выгнали из дому; [81,111]уже как год они меня не кормят; [113,147]а все потому што я учится не хотел; [149,183]у меня все што осталась ето друзья; [185,200]спасибо хоть им; [201,224]што они меня не предали; [226,240]ета так больно; [241,276]когда родные от тебя отварачиваются",Смешанного типа,9,"[0,16]Я устал так жыть; [18,53]у меня пропала желания штото делать; [55,79]родители выгнали из дому; [81,111]уже как год они меня не кормят; [113,147]а все потому што я учится не хотел; [149,183]у меня все што осталась ето друзья; [185,224]спасибо хоть им што они меня не предали; [226,240]ета так больно; [241,276]когда родные от тебя отварачиваются",Смешанного типа,10,"[0,16]Я устал так жыть; [18,53]у меня пропала желания штото делать; [55,79]родители выгнали из дому; [81,111]уже как год они меня не кормят; [113,147]а все потому што я учится не хотел; [149,183]у меня все што осталась ето друзья; [185,200]спасибо хоть им; [201,224]што они меня не предали; [226,240]ета так больно; [241,276]когда родные от тебя отварачиваются",Смешанного типа
162,"Я устала от этого ""опять"" - опять бессонница, опять общежитие, опять работа.",presuicidal_multilabel_bsp,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",1,"[0,75]Я устала от этого ""опять"" - опять бессонница, опять общежитие, опять работа",Не сложное,1,"[0,75]Я устала от этого ""опять"" - опять бессонница, опять общежитие, опять работа",Не сложное,1,"[0,75]Я устала от этого ""опять"" - опять бессонница, опять общежитие, опять работа",Не сложное
163,Я утратил весь интерес к жизни.,presuicidal_short_simple,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",1,"[0,30]Я утратил весь интерес к жизни",Не сложное,1,"[0,30]Я утратил весь интерес к жизни",Не сложное,1,"[0,30]Я утратил весь интерес к жизни",Не сложное
164,"Я хочу быть нормальным человеком, любить и быть любимым, но с этой депрессией я не могу ничего сделать.",presuicidal_multilabel_conj,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",2,"[0,55]Я хочу быть нормальным человеком, любить и быть любимым; [57,102]но с этой депрессией я не могу ничего сделать",ССП,2,"[0,55]Я хочу быть нормальным человеком, любить и быть любимым; [57,102]но с этой депрессией я не могу ничего сделать",ССП,2,"[0,55]Я хочу быть нормальным человеком, любить и быть любимым; [57,102]но с этой депрессией я не могу ничего сделать",СПП
165,"Я хочу покончить с собой, мне очень тяжело терпеть это на протяжении 3 лет.",presuicidal_multilabel_bsp,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",2,"[0,24]Я хочу покончить с собой; [26,74]мне очень тяжело терпеть это на протяжении 3 лет",БСП,2,"[0,24]Я хочу покончить с собой; [26,74]мне очень тяжело терпеть это на протяжении 3 лет",БСП,2,"[0,24]Я хочу покончить с собой; [26,74]мне очень тяжело терпеть это на протяжении 3 лет",БСП
166,"Я хочу покончить с собой, это невыносимо!",presuicidal_multilabel_bsp,infinitive_clause,"Спорная клауза с инфинитивом / неполным предикатом (тип «не знаю как дышать», «хочет рассказать»).",2,"[0,24]Я хочу покончить с собой; [26,40]это невыносимо",БСП,2,"[0,24]Я хочу покончить с собой; [26,40]это невыносимо",БСП,1,"[0,40]Я хочу покончить с собой, это невыносимо",Не сложное
167,"Я чувствую себя среди людей не в своей тарелке, но было бы слишком просто списать это на социофобию, ведь с теми, кто был раньше, с друзьями было с самого начала легко и не страшно, просто все они - не те.",presuicidal_monolabel_long,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",4,"[0,46]Я чувствую себя среди людей не в своей тарелке; [48,99]но было бы слишком просто списать это на социофобию; [101,180]ведь с теми, кто был раньше, с друзьями было с самого начала легко и не страшно; [182,204]просто все они - не те",Смешанного типа,4,"[0,46]Я чувствую себя среди людей не в своей тарелке; [48,99]но было бы слишком просто списать это на социофобию; [101,180]ведь с теми, кто был раньше, с друзьями было с самого начала легко и не страшно; [182,204]просто все они - не те",Смешанного типа,4,"[0,46]Я чувствую себя среди людей не в своей тарелке; [48,99]но было бы слишком просто списать это на социофобию; [101,180]ведь с теми, кто был раньше, с друзьями было с самого начала легко и не страшно; [182,204]просто все они - не те",Смешанного типа
168,"Я. особо ничего не хочу, если же вы просто попадали в такие ситуации и вы думаете что жизнь уже окончена, и не надо жить, то ответьте мне пожалуйста как с этим покончить кто сталкивался",presuicidal_multilabel_conj,adverbial_participle,Деепричастный/причастный оборот — один аннотатор ошибочно выделил его как самостоятельную клаузу.,7,"[0,23]Я. особо ничего не хочу; [25,68]если же вы просто попадали в такие ситуации; [69,104]и вы думаете что жизнь уже окончена; [106,120]и не надо жить; [122,148]то ответьте мне пожалуйста; [149,169]как с этим покончить; [170,185]кто сталкивался",Смешанного типа,8,"[0,23]Я. особо ничего не хочу; [25,68]если же вы просто попадали в такие ситуации; [69,81]и вы думаете; [82,104]что жизнь уже окончена; [106,120]и не надо жить; [122,148]то ответьте мне пожалуйста; [149,169]как с этим покончить; [170,185]кто сталкивался",Смешанного типа,4,"[0,23]Я. особо ничего не хочу; [25,68]если же вы просто попадали в такие ситуации; [69,120]и вы думаете что жизнь уже окончена, и не надо жить; [122,185]то ответьте мне пожалуйста как с этим покончить кто сталкивался",Смешанного типа
169,"а ведь я знаю что я хорош, и могу добиться расположения ЛЮБОЙ дамы любой непикап нет это все, я умею общаться с людьми.",presuicidal_monolabel_long,infinitive_clause,"Спорная клауза с инфинитивом / неполным предикатом (тип «не знаю как дышать», «хочет рассказать»).",4,"[0,13]а ведь я знаю; [14,25]что я хорош; [27,92]и могу добиться расположения ЛЮБОЙ дамы любой непикап нет это все; [94,118]я умею общаться с людьми",Смешанного типа,5,"[0,13]а ведь я знаю; [14,25]что я хорош; [27,66]и могу добиться расположения ЛЮБОЙ дамы; [67,92]любой непикап нет это все; [94,118]я умею общаться с людьми",Смешанного типа,3,"[0,13]а ведь я знаю; [14,92]что я хорош, и могу добиться расположения ЛЮБОЙ дамы любой непикап нет это все; [94,118]я умею общаться с людьми",Смешанного типа
170,аж плакать хочется:(,solyanka_twitter_short_simple,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",1,"[0,18]аж плакать хочется",Не сложное,1,"[0,18]аж плакать хочется",Не сложное,1,"[0,18]аж плакать хочется",Не сложное
171,"бесят мужики, которые идут по дороге и харкаются, смаркаются, а ты значит обходи это все. в глаз себе харкани мудила ебаная",solyanka_social_media_multi,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",4,"[0,12]бесят мужики; [14,60]которые идут по дороге и харкаются, смаркаются; [62,88]а ты значит обходи это все; [90,123]в глаз себе харкани мудила ебаная",Смешанного типа,4,"[0,12]бесят мужики; [14,60]которые идут по дороге и харкаются, смаркаются; [62,88]а ты значит обходи это все; [90,123]в глаз себе харкани мудила ебаная",Смешанного типа,4,"[0,12]бесят мужики; [14,60]которые идут по дороге и харкаются, смаркаются; [62,88]а ты значит обходи это все; [90,123]в глаз себе харкани мудила ебаная",Смешанного типа
172,"боюсь, родители не отпустят меня в питер. хотя похоже всё так и будет :с",solyanka_social_media_multi,demonstrative_words,Указательное/соотносительное слово (тот/туда/тогда/так) — аннотаторы по-разному отнесли его к главной или придаточной части (несовпадение границ при равном числе клауз).,3,"[0,5]боюсь; [7,40]родители не отпустят меня в питер; [42,72]хотя похоже всё так и будет :с",Смешанного типа,3,"[0,5]боюсь; [7,40]родители не отпустят меня в питер; [42,69]хотя похоже всё так и будет",Смешанного типа,3,"[0,5]боюсь; [7,40]родители не отпустят меня в питер; [42,72]хотя похоже всё так и будет :с",СПП
173,"в очередной раз убеждаюсь, что просьба фолловить обратно абсолютно отвратительна. только говнари так делают",solyanka_social_media_multi,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",3,"[0,25]в очередной раз убеждаюсь; [27,80]что просьба фолловить обратно абсолютно отвратительна; [82,107]только говнари так делают",Смешанного типа,3,"[0,25]в очередной раз убеждаюсь; [27,80]что просьба фолловить обратно абсолютно отвратительна; [82,107]только говнари так делают",Смешанного типа,3,"[0,25]в очередной раз убеждаюсь; [27,80]что просьба фолловить обратно абсолютно отвратительна; [82,107]только говнари так делают",Смешанного типа
174,"везде, это полное кидалово ) мстить буду ск!)",solyanka_twitter_short_simple,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",2,"[0,26]везде, это полное кидалово; [29,43]мстить буду ск",БСП,2,"[0,26]везде, это полное кидалово; [29,43]мстить буду ск",БСП,2,"[0,26]везде, это полное кидалово; [29,43]мстить буду ск",БСП
175,завтра походу будет ужасный день(,solyanka_social_media_multi,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",1,"[0,32]завтра походу будет ужасный день",Не сложное,1,"[0,32]завтра походу будет ужасный день",Не сложное,1,"[0,32]завтра походу будет ужасный день",Не сложное
176,"и мне кажется теперь, что яникогда не поправлюсь.",presuicidal_multilabel_conj,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",2,"[0,20]и мне кажется теперь; [22,48]что яникогда не поправлюсь",СПП,2,"[0,20]и мне кажется теперь; [22,48]что яникогда не поправлюсь",СПП,2,"[0,20]и мне кажется теперь; [22,48]что яникогда не поправлюсь",СПП
177,имя которого боишься называть,solyanka_twitter_short_simple,infinitive_clause,"Спорная клауза с инфинитивом / неполным предикатом (тип «не знаю как дышать», «хочет рассказать»).",2,"[0,3]имя; [4,29]которого боишься называть",СПП,1,"[0,29]имя которого боишься называть",Не сложное,1,"[0,29]имя которого боишься называть",Не сложное
178,"искреннелюбили Он постоянно говорит что я никому не нужна, что я потихоньку уже в это верюДрузей у меня так и не появилось, все только и стараются нагадить, меня уволили с хорошей работы, как оказалось из-за тех кого я считала друзьями, в лицо все мило улыбались, а в это время плели сплетни и интриги.",presuicidal_multilabel_conj,comparative,Сравнительный оборот («как ветер») — один аннотатор ошибочно выделил его как отдельную клаузу.,9,"[0,14]искреннелюбили; [15,57]Он постоянно говорит что я никому не нужна; [59,90]что я потихоньку уже в это верю; [90,122]Друзей у меня так и не появилось; [124,155]все только и стараются нагадить; [157,186]меня уволили с хорошей работы; [188,235]как оказалось из-за тех кого я считала друзьями; [237,262]в лицо все мило улыбались; [264,301]а в это время плели сплетни и интриги",Смешанного типа,11,"[0,14]искреннелюбили; [15,35]Он постоянно говорит; [36,57]что я никому не нужна; [59,90]что я потихоньку уже в это верю; [90,122]Друзей у меня так и не появилось; [124,155]все только и стараются нагадить; [157,186]меня уволили с хорошей работы; [188,211]как оказалось из-за тех; [212,235]кого я считала друзьями; [237,262]в лицо все мило улыбались; [264,301]а в это время плели сплетни и интриги",Смешанного типа,9,"[15,35]Он постоянно говорит; [36,57]что я никому не нужна; [59,90]что я потихоньку уже в это верю; [90,122]Друзей у меня так и не появилось; [124,155]все только и стараются нагадить; [157,186]меня уволили с хорошей работы; [188,235]как оказалось из-за тех кого я считала друзьями; [237,262]в лицо все мило улыбались; [264,301]а в это время плели сплетни и интриги",Смешанного типа
179,"летом нужно было где-то жить, за что-то есть, на работу меня никуда не брали или брали но платили мизерную зп, помощи от близких не было.",presuicidal_multilabel_conj,infinitive_clause,"Спорная клауза с инфинитивом / неполным предикатом (тип «не знаю как дышать», «хочет рассказать»).",3,"[0,44]летом нужно было где-то жить, за что-то есть; [46,109]на работу меня никуда не брали или брали но платили мизерную зп; [111,136]помощи от близких не было",БСП,5,"[0,28]летом нужно было где-то жить; [30,44]за что-то есть; [46,86]на работу меня никуда не брали или брали; [87,109]но платили мизерную зп; [111,136]помощи от близких не было",Смешанного типа,5,"[0,44]летом нужно было где-то жить, за что-то есть; [46,76]на работу меня никуда не брали; [77,86]или брали; [87,109]но платили мизерную зп; [111,136]помощи от близких не было",Смешанного типа
180,мне сниться мой умерший ребенок.,presuicidal_short_simple,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",1,"[0,31]мне сниться мой умерший ребенок",Не сложное,1,"[0,31]мне сниться мой умерший ребенок",Не сложное,1,"[0,31]мне сниться мой умерший ребенок",Не сложное
181,мне ужасно обидно и плохо прям хочется заплакать и очень громко.,presuicidal_multilabel_conj,text_artifact,"Длинное предложение почти без пунктуации (run-on) — границы клауз приходится угадывать, отсюда расхождение.",1,"[0,25]мне ужасно обидно и плохо",БСП,2,"[0,25]мне ужасно обидно и плохо; [26,63]прям хочется заплакать и очень громко",БСП,2,"[0,25]мне ужасно обидно и плохо; [26,63]прям хочется заплакать и очень громко",БСП
182,мой странный юн вам не нравится :-------) в био бл посмотрите :-----------),other,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",2,"[0,31]мой странный юн вам не нравится; [42,61]в био бл посмотрите",БСП,2,"[0,31]мой странный юн вам не нравится; [42,61]в био бл посмотрите",СПП,2,"[0,31]мой странный юн вам не нравится; [42,61]в био бл посмотрите",БСП
183,на протяжении беременности я уже почуствовала себя мамой я разговаривала с малышом на тот момент я не знала что там мальчик)но каким то оброзом называла его Аланчик)мой малыш.,presuicidal_monolabel_long,text_artifact,"Несбалансированные скобки/кавычки в исходном тексте — артефакт, затрудняющий согласованную разметку границ.",5,"[0,56]на протяжении беременности я уже почуствовала себя мамой; [57,82]я разговаривала с малышом; [83,123]на тот момент я не знала что там мальчик; [124,164]но каким то оброзом называла его Аланчик; [165,174]мой малыш",Смешанного типа,6,"[0,56]на протяжении беременности я уже почуствовала себя мамой; [57,82]я разговаривала с малышом; [83,107]на тот момент я не знала; [108,123]что там мальчик; [124,164]но каким то оброзом называла его Аланчик; [165,174]мой малыш",Смешанного типа,5,"[0,56]на протяжении беременности я уже почуствовала себя мамой; [57,82]я разговаривала с малышом; [83,107]на тот момент я не знала; [108,123]что там мальчик; [124,174]но каким то оброзом называла его Аланчик)мой малыш",Смешанного типа
184,начнем с того что меня привлекает такое как суицид.,other,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",2,"[0,13]начнем с того; [14,50]что меня привлекает такое как суицид",СПП,2,"[0,13]начнем с того; [14,50]что меня привлекает такое как суицид",СПП,2,"[0,13]начнем с того; [14,50]что меня привлекает такое как суицид",СПП
185,"не любишь ты меня,падло:(((*(*:??*::;%?*(:*()?97890768679",solyanka_social_media_multi,text_artifact,"Несбалансированные скобки/кавычки в исходном тексте — артефакт, затрудняющий согласованную разметку границ.",1,"[0,57]не любишь ты меня,падло:(((*(*:??*::;%?*(:*()?97890768679",Не сложное,1,"[0,23]не любишь ты меня,падло",Не сложное,1,"[0,23]не любишь ты меня,падло",Не сложное
186,но в итоге на 14 февроля он меня очень сильно оскорбил и я снова порезала руку.,presuicidal_multilabel_conj,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",2,"[0,54]но в итоге на 14 февроля он меня очень сильно оскорбил; [55,78]и я снова порезала руку",ССП,2,"[0,54]но в итоге на 14 февроля он меня очень сильно оскорбил; [55,78]и я снова порезала руку",ССП,2,"[0,54]но в итоге на 14 февроля он меня очень сильно оскорбил; [55,78]и я снова порезала руку",ССП
187,"около недели назад моя биологическая мать с опекой через суд забрали моего старшего сына, ещё у меня дочка и сын.",presuicidal_multilabel_conj,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",2,"[0,88]около недели назад моя биологическая мать с опекой через суд забрали моего старшего сына; [90,112]ещё у меня дочка и сын",БСП,2,"[0,88]около недели назад моя биологическая мать с опекой через суд забрали моего старшего сына; [90,112]ещё у меня дочка и сын",БСП,2,"[0,88]около недели назад моя биологическая мать с опекой через суд забрали моего старшего сына; [90,112]ещё у меня дочка и сын",БСП
188,"он полностью мне подходит... в нас сколько общего,что это пугает... но чувства...их нет...и это главная проблема(((",solyanka_social_media_multi,text_artifact,"Несбалансированные скобки/кавычки в исходном тексте — артефакт, затрудняющий согласованную разметку границ.",5,"[0,25]он полностью мне подходит; [29,49]в нас сколько общего; [50,64]что это пугает; [68,87]но чувства...их нет; [90,112]и это главная проблема",Смешанного типа,5,"[0,25]он полностью мне подходит; [29,49]в нас сколько общего; [50,64]что это пугает; [68,87]но чувства...их нет; [90,112]и это главная проблема",Смешанного типа,4,"[0,25]он полностью мне подходит; [29,64]в нас сколько общего,что это пугает; [68,87]но чувства...их нет; [90,112]и это главная проблема",Смешанного типа
189,"от безденежья, правда я понимаю, что некоторые живут еще хуже, но иногда мне кажется, что единственное правильное решение умереть.",presuicidal_monolabel_long,parenthetical,"Вводное/вставное слово или конструкция — расхождение в том, считать ли её отдельной вставной клаузой.",5,"[0,13]от безденежья; [15,31]правда я понимаю; [33,61]что некоторые живут еще хуже; [63,84]но иногда мне кажется; [86,129]что единственное правильное решение умереть",Смешанного типа,5,"[0,13]от безденежья; [15,31]правда я понимаю; [33,61]что некоторые живут еще хуже; [63,84]но иногда мне кажется; [86,129]что единственное правильное решение умереть",Смешанного типа,4,"[0,31]от безденежья, правда я понимаю; [33,61]что некоторые живут еще хуже; [63,84]но иногда мне кажется; [86,129]что единственное правильное решение умереть",MISSING
190,отвратительное. спасибо сестре. огромное спасибо >< очередное воскресенье с настроением в днище. что может быть лучше?,solyanka_social_media_multi,parenthetical,"Вводное/вставное слово или конструкция — расхождение в том, считать ли её отдельной вставной клаузой.",4,"[0,14]отвратительное; [16,30]спасибо сестре; [32,95]огромное спасибо >< очередное воскресенье с настроением в днище; [97,117]что может быть лучше",Смешанного типа,5,"[0,14]отвратительное; [16,30]спасибо сестре; [32,48]огромное спасибо; [52,95]очередное воскресенье с настроением в днище; [97,117]что может быть лучше",БСП,2,"[0,95]отвратительное. спасибо сестре. огромное спасибо >< очередное воскресенье с настроением в днище; [97,117]что может быть лучше",БСП
